h3_cell,resolution,targets,area_density,max_confidence,is_h0
8741a0b25ffffff,7,0,0.0,0.0,True
8741a540affffff,7,0,0.0,0.0,True
8741a540bffffff,7,0,0.0,0.0,True
8741a5411ffffff,7,0,0.0,0.0,True
8741a5413ffffff,7,0,0.0,0.0,True
8741a541dffffff,7,0,0.0,0.0,True
8741a541effffff,7,1,9.834e-05,0.4681,True
8741a5450ffffff,7,0,0.0,0.0,True
8741a5451ffffff,7,0,0.0,0.0,True
8741a5456ffffff,7,0,0.0,0.0,True
8741a545affffff,7,0,0.0,0.0,True
8741a545effffff,7,0,0.0,0.0,True
8741a5481ffffff,7,0,0.0,0.0,True
8741a5483ffffff,7,0,0.0,0.0,True
8741a5488ffffff,7,0,0.0,0.0,True
8741a548affffff,7,0,0.0,0.0,True
8741a549dffffff,7,0,0.0,0.0,True
8741a54acffffff,7,0,0.0,0.0,True
8741a54aeffffff,7,0,0.0,0.0,True
8741a54c6ffffff,7,0,0.0,0.0,True
8741a54c8ffffff,7,0,0.0,0.0,True
8741a54caffffff,7,0,0.0,0.0,True
8741a54cdffffff,7,0,0.0,0.0,True
8741a54d2ffffff,7,0,0.0,0.0,True
8741a54d3ffffff,7,0,0.0,0.0,True
8741a54d4ffffff,7,0,0.0,0.0,True
8741a54d5ffffff,7,1,1.197e-05,0.3287,True
8741a54d6ffffff,7,1,7.49e-06,0.4233,True
8741a54d8ffffff,7,0,0.0,0.0,True
8741a54d9ffffff,7,1,6.827e-05,0.6056,True
8741a54deffffff,7,0,0.0,0.0,True
8841a54181fffff,8,0,0.0,0.0,False
8841a54183fffff,8,0,0.0,0.0,False
8841a54189fffff,8,1,0.01626918,0.2555,False
8841a5418bfffff,8,0,0.0,0.0,False
8841a54197fffff,8,1,0.00019674,0.345,False
8841a5419bfffff,8,0,0.0,0.0,False
8841a541a9fffff,8,0,0.0,0.0,False
8841a541abfffff,8,1,0.00407919,0.8168,False
8841a541b9fffff,8,1,4.702e-05,0.3082,False
8841a541bdfffff,8,0,0.0,0.0,False
8841a541c1fffff,8,0,0.0,0.0,False
8841a541c3fffff,8,0,0.0,0.0,False
8841a541c5fffff,8,0,0.0,0.0,False
8841a541c9fffff,8,0,0.0,0.0,False
8841a541cbfffff,8,0,0.0,0.0,False
8841a541cdfffff,8,0,0.0,0.0,False
8841a54525fffff,8,0,0.0,0.0,False
8841a54527fffff,8,1,5.976e-05,0.3189,False
8841a54529fffff,8,0,0.0,0.0,False
8841a5452bfffff,8,0,0.0,0.0,False
8841a54531fffff,8,0,0.0,0.0,False
8841a54533fffff,8,0,0.0,0.0,False
8841a54539fffff,8,0,0.0,0.0,False
8841a5453bfffff,8,0,0.0,0.0,False
8841a5453dfffff,8,0,0.0,0.0,False
8841a54893fffff,8,0,0.0,0.0,False
8841a54897fffff,8,0,0.0,0.0,False
8841a548b1fffff,8,0,0.0,0.0,False
8841a548b3fffff,8,0,0.0,0.0,False
8841a548b5fffff,8,0,0.0,0.0,False
8841a548b7fffff,8,0,0.0,0.0,False
8841a548b9fffff,8,0,0.0,0.0,False
8841a548bdfffff,8,0,0.0,0.0,False
8841a548cdfffff,8,0,0.0,0.0,False
8841a548d1fffff,8,1,0.00202444,0.3535,False
8841a548d5fffff,8,1,0.00303753,0.429,False
8841a548d9fffff,8,0,0.0,0.0,False
8841a548dbfffff,8,0,0.0,0.0,False
8841a548ddfffff,8,0,0.0,0.0,False
8841a548e3fffff,8,0,0.0,0.0,False
8841a548e5fffff,8,0,0.0,0.0,False
8841a548e9fffff,8,1,0.00062569,0.5629,False
8841a54a81fffff,8,0,0.0,0.0,False
8841a54a83fffff,8,1,0.00246998,0.2787,False
8841a54a89fffff,8,1,0.00073613,0.456,False
8841a54a8bfffff,8,0,0.0,0.0,False
8841a54a8dfffff,8,0,0.0,0.0,False
8841a54a93fffff,8,0,0.0,0.0,False
8841a54a97fffff,8,0,0.0,0.0,False
8841a54a99fffff,8,1,0.00713514,0.2845,False
8841a54a9bfffff,8,1,0.00382926,0.8146,False
8841a54a9dfffff,8,1,0.00950062,0.4871,False
8841a54aa1fffff,8,0,0.0,0.0,False
8841a54aa3fffff,8,1,4.87e-05,0.35,False
8841a54aa5fffff,8,0,0.0,0.0,False
8841a54aa7fffff,8,0,0.0,0.0,False
8841a54aa9fffff,8,0,0.0,0.0,False
8841a54aabfffff,8,0,0.0,0.0,False
8841a54aadfffff,8,0,0.0,0.0,False
8841a54ab1fffff,8,0,0.0,0.0,False
8841a54abbfffff,8,0,0.0,0.0,False
8841a54ad1fffff,8,0,0.0,0.0,False
8841a54ad3fffff,8,0,0.0,0.0,False
8841a54ad5fffff,8,1,0.00195145,0.354,False
8841a54ad9fffff,8,0,0.0,0.0,False
8841a54adbfffff,8,1,0.00171571,0.4436,False
8841a54addfffff,8,0,0.0,0.0,False
8841a54c01fffff,8,0,0.0,0.0,False
8841a54c05fffff,8,0,0.0,0.0,False
8841a54c09fffff,8,0,0.0,0.0,False
8841a54c0bfffff,8,0,0.0,0.0,False
8841a54c0dfffff,8,1,0.00058311,0.3228,False
8841a54c19fffff,8,0,0.0,0.0,False
8841a54c1dfffff,8,1,0.00070689,0.321,False
8841a54c27fffff,8,0,0.0,0.0,False
8841a54c29fffff,8,0,0.0,0.0,False
8841a54c2dfffff,8,0,0.0,0.0,False
8841a54c35fffff,8,1,0.00437184,0.7032,False
8841a54c37fffff,8,1,0.00039993,0.2867,False
8841a54c3dfffff,8,0,0.0,0.0,False
8841a54c45fffff,8,0,0.0,0.0,False
8841a54c49fffff,8,0,0.0,0.0,False
8841a54c4dfffff,8,0,0.0,0.0,False
8841a54c51fffff,8,0,0.0,0.0,False
8841a54c53fffff,8,0,0.0,0.0,False
8841a54c55fffff,8,0,0.0,0.0,False
8841a54c57fffff,8,0,0.0,0.0,False
8841a54c59fffff,8,1,0.00055562,0.4803,False
8841a54c5bfffff,8,0,0.0,0.0,False
8841a54cc3fffff,8,0,0.0,0.0,False
8841a54cc5fffff,8,0,0.0,0.0,False
8841a54ccdfffff,8,0,0.0,0.0,False
8841a54ce1fffff,8,0,0.0,0.0,False
